chid,chnm,bound_provenance,n_biofam_tested,n_biofam_active,n_biofam_separated,frac_tested_active,frac_tested_separated,family_loss
59834,Perfluamine,default,15,2,2,0.13333333333333333,0.13333333333333333,0
174941,"3H,3H-Perfluoro-2,4-hexanedione",default,16,7,7,0.4375,0.4375,0
229163,Trichloro((perfluorohexyl)ethyl)silane,default,14,3,3,0.21428571428571427,0.21428571428571427,0
379721,"1H,1H,6H,6H-Perfluorohexane-1,6-diol diacrylate",estimated,17,17,8,1.0,0.47058823529411764,9
382104,9-Chloro-perfluorononanoic acid,estimated,19,15,7,0.7894736842105263,0.3684210526315789,8
59921,Perfluorotetradecanoic acid,estimated,16,10,3,0.625,0.1875,7
469320,Perfluorohexanesulfonamide,estimated,16,13,6,0.8125,0.375,7
59920,Perfluoroheptanesulfonic acid,default,16,11,11,0.6875,0.6875,0
59970,Perfluoropropanoic acid,default,14,4,4,0.2857142857142857,0.2857142857142857,0
59833,Perfluorohexanedioic acid,default,16,2,2,0.125,0.125,0
380797,"1H,1H-Perfluoro-3,6,9-trioxadecan-1-ol",estimated,16,14,4,0.875,0.25,10
67348,2-(Perfluorooctyl)ethyl acrylate,default,15,8,8,0.5333333333333333,0.5333333333333333,0
59912,Heptafluorobutyl iodide,default,15,3,3,0.2,0.2,0
59926,Perfluoropentanedioic acid,default,14,4,4,0.2857142857142857,0.2857142857142857,0
874028,"2H,2H,3H,3H-Perfluorooctanoic acid",default,16,10,10,0.625,0.625,0
31863,Perfluorononanoic acid,estimated,40,33,12,0.825,0.3,21
892417,4H-Perfluorobutanoic acid,default,16,6,6,0.375,0.375,0
59879,"1H,1H,5H-Perfluoropentanol",default,15,5,5,0.3333333333333333,0.3333333333333333,0
378880,"2,2-Difluoroethyl triflate",default,15,7,7,0.4666666666666667,0.4666666666666667,0
62122,Fluorotelomer alcohol 4:2,default,15,6,6,0.4,0.4,0
442840,2-(Trifluoromethoxy)ethyl trifluoromethanesulfonate,default,16,3,3,0.1875,0.1875,0
880134,1-Pentafluoroethylethanol,default,15,2,2,0.13333333333333333,0.13333333333333333,0
