chid,casn,chnm,n_tested,n_active,n_selective,n_biofamilies_active,n_biofamilies_selective,family_loss
58166,69770-45-2,Flumethrin,55,28,28,2,2,0
20762,67-63-0,Isopropanol,396,39,7,7,1,6
37500,20243-81-6,Bensulide oxon,55,5,5,2,2,0
37586,2600-69-3,Phorate oxon,55,8,8,1,1,0
42286,3735-33-9,Phosmetoxon,55,1,1,1,1,0
34698,29450-45-1,2-Ethylhexyl (4-chloro-2-methylphenoxy)acetate,320,24,24,6,6,0
897219,997-55-7,(2S)-2-Acetamidobutanedioic acid,55,0,0,0,0,0
32440,105726-67-8,N-Methylneodecanamide,55,6,6,2,2,0
33736,159989-65-8,Nelfinavir mesylate,581,277,31,10,5,5
35084,3564-98-5,"p-Menthane-3,8-diol (cis-1,3,trans-1,4)",55,0,0,0,0,0
909356,1051375-16-6,Dolutegravir,55,26,26,2,2,0
274167,1315501-18-8,zeta-Cypermethrin,55,34,34,2,2,0
37509,3957-63-9,Chlorethoxyfos oxon,55,25,25,2,2,0
24983,15663-27-1,Cisplatin,659,56,56,11,11,0
885616,35272-27-6,"1,2,3-Benzothiadiazole-7-carboxylic acid",55,9,9,2,2,0
20596,100-41-4,Ethylbenzene,318,4,4,3,3,0
34329,129909-90-6,Amicarbazone,55,0,0,0,0,0
30711,31142-56-0,"2-Hydroxy-1,2,3-propanetricarboxylic acid aluminum salt (1:x)",55,22,22,2,2,0
44584,14611-52-0,Selegiline hydrochloride,580,7,7,2,2,0
41201,67375-30-8,alpha-Cypermethrin,317,36,36,7,7,0
45437,23031-32-5,Terbutaline hemisulfate,317,6,6,3,3,0
31521,6080-56-4,Lead(II) acetate trihydrate,317,25,25,7,7,0
21102,132-98-9,Penicillin VK,664,6,6,5,5,0
40373,139968-49-3,Metaflumizone,385,45,30,13,9,4
24243,1910-42-5,Paraquat dichloride,52,32,32,2,2,0
20104,7784-46-5,Sodium arsenite,51,40,40,2,2,0
20630,7681-49-4,Sodium fluoride,51,2,0,1,0,1
41035,23513-14-6,(6)-Gingerol,142,12,12,3,3,0
51446,329-89-5,6-aminopyridine-3-carboxamide,270,54,8,5,3,2
880026,2395-00-8,Potassium perfluorooctanoate,47,1,1,1,1,0
30048,60348-60-9,"2,2',4,4',5-Pentabromodiphenyl ether",308,38,8,10,3,7
22877,147-94-4,Cytarabine,485,72,72,7,7,0
880040,36913-39-0,1-Methyl-4-phenylpyridinium iodide,41,9,9,2,2,0
21292,127-69-5,Sulfisoxazole,991,4,4,3,3,0
20331,52214-84-3,Ciprofibrate,911,24,24,4,4,0
40684,73573-88-3,Mevastatin,117,43,43,5,5,0
31356,1772-03-8,Galactosamine hydrochloride,382,10,10,3,3,0
199452,51481-60-8,Naloxone hydrochloride dihydrate,37,0,0,0,0,0
880060,438-41-5,Chlordiazepoxide hydrochloride,37,28,28,2,2,0
57865,51-63-8,Dextroamphetamine sulfate,37,1,1,1,1,0
20166,56-35-9,Bis(tributyltin)oxide,300,181,52,12,6,6
41464,111-94-4,"3,3'-Iminobispropanenitrile",390,2,2,2,2,0
1365071,167616-23-1,Bone morphogenetic protein 7 (human),36,8,8,1,1,0
1365068,432296-14-5,Bone morphogenetic protein 2 (human),36,9,9,1,1,0
1020545,73777-50-1,Glufosinate-P ammonium,36,1,1,1,1,0
